author,count
Sam Sifton,7280
Alexa Weibel,6058
Kenji López-Alt,5248
Genevieve Ko,5010
Priya Krishna,4935
Melissa Clark,4481
Julia Moskin,3738
Claire Saffitz,3714
Yotam Ottolenghi,3660
Eric Kim,3544
Kay Chun,2834
Ligaya Mishan,2093
