ai_guess,count
positive_user_describing_changes,37275
question,11090
positive_user_made_as_written,7837
thinks_recipe_is_flawed_due_to_technique_or_equipment,5373
thinks_recipe_is_flawed_due_to_flavor,5245
maybe_not_about_the_recipe,3976
thinks_recipe_is_flawed_due_to_cooking_time,2229
user_responding_to_other_user,2218
thinks_recipe_is_inauthentic,760
thinks_ingredients_hard_to_find,719
