ai_guess,count
positive_user_describing_changes,58
maybe_not_about_the_recipe,13
thinks_recipe_is_flawed_due_to_technique_or_equipment,10
user_responding_to_other_user,5
question,4
positive_user_made_as_written,3
thinks_recipe_is_flawed_due_to_cooking_time,3
thinks_recipe_is_inauthentic,2
thinks_ingredients_hard_to_find,1
thinks_recipe_is_flawed_due_to_flavor,1
